ZH000483	0.304	0.038	0.478	0.266	0.349	0.624	0	SH	2014-10-28	70	2016-10-13	
ZH000491	1.903	0.665	0.466	1.238	0.262	2.776	1	SH	2014-10-28	15442	2016-10-13	
ZH000495	0.35	0.022	0.503	0.328	0.321	1.076	0	SH	2014-10-28	197	2016-10-13	
ZH000502	0.506	0.032	0.131	0.474	0.091	0.325	0	SH	2014-10-29	24	2016-10-13	
ZH000504	0.473	0.067	0.645	0.406	0.364	2.188	0	SH	2014-10-29	60	2016-10-13	
ZH000514	0.442	0.056	0.729	0.386	0.394	2.441	0	SH	2014-10-29	81	2016-10-13	
ZH000523	2.183	0.975	0.727	1.208	0.303	2.482	0	SH	2014-10-29	18	2016-10-13	
ZH000537	0.491	0.106	0.458	0.385	0.448	0.712	0	SH	2014-10-29	26	2016-10-13	
ZH000544	0.424	0.076	1.358	0.348	0.559	1.207	0	SH	2014-10-29	77	2016-10-13	
ZH000585	0.285	0.011	0.977	0.274	0.49	1.926	0	SH	2014-10-30	74	2016-10-13	
ZH000592	0.419	0.029	1.076	0.39	0.46	1.449	0	SH	2014-10-30	46	2016-10-13	
ZH000603	0.521	0.081	0.587	0.44	0.404	1.729	0	SH	2014-10-30	109961	2016-10-13	
ZH000617	1.453	0.263	0.238	1.19	0.128	2.141	0	SH	2014-10-30	111	2016-10-13	
ZH000632	0.945	0.134	0.148	0.811	0.206	0.905	1	SH	2014-10-31	11	2016-10-13	
ZH000640	0.929	0.222	0.173	0.707	0.267	1.039	0	SH	2014-10-31	2260	2016-10-13	
ZH000647	0.509	0.109	0.784	0.4	0.456	1.452	0	SH	2014-10-31	144	2016-10-13	
ZH000652	0.934	0.339	0.965	0.595	0.526	1.175	1	SH	2014-10-31	275	2016-10-13	
ZH000661	1.686	0.533	0.268	1.153	0.226	2.058	1	SH	2014-10-31	80	2016-10-13	
ZH000662	0.261	0.021	1.159	0.24	0.574	0.65	0	SH	2014-10-31	47	2016-10-13	
ZH000667	0.621	0.136	0.782	0.485	0.443	2.525	0	SH	2014-10-31	454	2016-10-13	
ZH000672	0.728	0.168	0.718	0.56	0.38	2.77	0	SH	2014-10-31	103	2016-10-13	
ZH000684	0.493	0.124	0.829	0.369	0.62	0.828	0	SH	2014-10-31	14	2016-10-13	
ZH000687	1.072	0.451	1.179	0.621	0.55	0.976	0	SH	2014-10-31	1003	2016-10-13	
ZH000689	0.676	0.189	0.914	0.487	0.477	1.553	0	SH	2014-10-31	82	2016-10-13	
ZH000692	0.678	0.155	0.831	0.523	0.39	3.253	0	SH	2014-10-31	539	2016-10-13	
ZH000697	1.089	0.282	0.293	0.807	0.259	1.525	1	SH	2014-10-31	11	2016-10-13	
ZH000700	0.616	0.147	0.811	0.469	0.583	1.532	0	SH	2014-10-31	20	2016-10-13	
ZH000701	1.172	0.393	0.959	0.779	0.385	2.376	0	SH	2014-10-31	217	2016-10-13	
ZH000709	0.833	0.24	0.804	0.593	0.525	1.743	0	SH	2014-10-31	338	2016-10-13	
ZH000723	0.694	0.196	0.896	0.498	0.476	1.342	1	SH	2014-10-31	59	2016-10-13	
ZH000725	0.3	0.047	0.5	0.253	0.594	0.544	0	SH	2014-10-31	29	2016-10-13	
ZH000732	0.622	0.255	1.688	0.367	0.645	0.413	0	SH	2014-10-31	53	2016-10-13	
ZH000733	1.36	0.509	1.317	0.851	0.482	2.743	0	SH	2014-10-31	1196	2016-10-13	
ZH000741	1.978	0.682	0.618	1.296	0.327	3.737	100	SH	2014-10-31	148	2016-10-13	
ZH000742	0.825	0.241	1.015	0.584	0.452	3.484	3	SH	2014-10-31	11	2016-10-13	
ZH000744	0.786	0.182	1.025	0.604	0.407	12.294	0	SH	2014-10-31	1478	2016-10-13	
ZH000748	0.637	0.164	1.23	0.473	0.47	2.626	0	SH	2014-10-31	40	2016-10-13	
ZH000754	1.536	0.508	0.917	1.028	0.298	5.518	0	SH	2014-10-31	471	2016-10-13	
ZH000757	0.338	0.098	0.735	0.24	0.582	0.33	0	SH	2014-10-31	1124	2016-10-13	
ZH000761	0.251	0.03	0.875	0.221	0.636	0.535	0	SH	2014-10-31	798	2016-10-13	
ZH000765	0.569	0.215	1.09	0.354	0.591	0.483	1	SH	2014-10-31	53	2016-10-13	
ZH000767	0.595	0.137	1.039	0.458	0.468	2.385	3	SH	2014-10-31	489	2016-10-13	
ZH000769	0.271	0.024	0.71	0.247	0.522	0.797	3	SH	2014-10-31	21	2016-10-13	
ZH000770	1.554	0.593	1.16	0.961	0.376	4.533	2	SH	2014-11-03	1297	2016-10-13	
ZH000773	0.535	0.211	0.787	0.324	0.479	0.36	3	SH	2014-10-31	648	2016-10-13	
